Tªn Trang BÞ	ItemGenre	DetailType	ParticularType	SPR		Ngang	Däc				Level																																			Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Opt	Opt		Skill	Dßng Cuèi		
Anh Hµo PhËt §µ T¨ng C«n	0	0	2	\spr\item\equip\weapon\obj-spear33yh.spr	11	1	4	Bé trang bÞ ThiÕu L©m C«n cÊp Anh Hµo (7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	150	39	0									2706	2253	1973	1773	2093	2765	794	821	7		1670	2	14
Anh Hµo PhËt §µ T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes119yh.spr	26	2	2	Bé trang bÞ ThiÕu L©m C«n cÊp Anh Hµo (8)	2	99999	10	0	30	160	160	31	80	80																36	150	39	0									1693	2333	1733	1893	1933	2173	794	821	8		2213	2	14
Anh Hµo PhËt §µ Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist108yh.spr	36	1	2	Bé trang bÞ ThiÕu L©m C«n cÊp Anh Hµo (9)	1	99999	10	0																						36	150	39	0									1693	2293	1733	1773	2093	2173	794	821	9	1044	2213	2	14
Anh Hµo PhËt §µ H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ ThiÕu L©m C«n cÊp Anh Hµo (10)	3	99999	10	0																						36	150	39	0									1693	2373	1733	1813	2093	2173	794	821	10		1670	2	14
Anh Hµo Kim Cang H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck108yh.spr	36	2	1	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (1)	4	99999	10	0																						36	150	39	0									1693	2413	1733	1853	2133	2173	795	822	1	1038	2213	2	14
Anh Hµo Kim Cang T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap119yh.spr	28	2	2	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (2)	0	99999	10	0	30	360	360	31	85	85																36	150	39	0									1693	2253	1733	1773	2093	2765	795	822	2		2213	2	14
Anh Hµo Kim Cang Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (3)	2	99999	10	0																						36	150	39	0									1693	2333	1733	1893	2093	2173	795	822	3		1670	2	14
Anh Hµo Kim Cang Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle108yh.spr	34	1	2	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (4)	1	99999	10	0	30	135	135	31	80	80																36	150	39	0									1693	2293	1733	1773	2093	2173	795	822	4		2793	2	14
Anh Hµo Kim Cang Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash108yh.spr	33	2	1	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (5)	3	99999	10	0	30	160	160	31	80	80																36	150	39	0									1693	2373	1733	1813	2093	2173	795	822	5	1060	2213	2	14
Anh Hµo Kim Cang Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth119yh.spr	22	2	3	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (6)	4	99999	10	0	30	720	720	31	90	90																36	150	39	0									1693	2413	1733	1853	2607	2765	795	822	6	1076	2793	2	14
Anh Hµo Kim Cang Giíi §ao	0	0	1	\spr\item\equip\weapon\obj-blade49yh.spr	10	1	4	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	150	39	0									2706	2253	1973	1773	2093	2765	795	822	7		1670	2	14
Anh Hµo Kim Cang T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes119yh.spr	26	2	2	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (8)	2	99999	10	0	30	160	160	31	80	80																36	150	39	0									1693	2333	1733	1893	1933	2173	795	822	8	1072	2213	2	14
Anh Hµo Kim Cang Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist108yh.spr	36	1	2	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (9)	1	99999	10	0																						36	150	39	0									1693	2293	1733	1773	2093	2173	795	822	9	1066	2213	2	14
Anh Hµo Kim Cang H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ ThiÕu L©m §ao cÊp Anh Hµo (10)	3	99999	10	0																						36	150	39	0									1693	2373	1733	1813	2093	2173	795	822	10		1670	2	14
Anh Hµo Tö Kim Liªn	0	4	1	\spr\item\equip\nick\obj-neck108yh.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (1)	0	99999	10	0																						36	150	39	1									1693	2413	1733	1853	2133	2173	796	823	1	1088	2213	2	14
Anh Hµo Tö Kim Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap120yh.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	1									1693	2253	1733	1773	2093	2820	796	823	2	1100	2745	2	14
Anh Hµo Tö Kim Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (3)	1	99999	10	0																						36	150	39	1									1693	2333	1733	1893	2093	2173	796	823	3		1670	2	14
Anh Hµo Tö Kim Thóc UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle108yh.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	1									1693	2293	1733	1773	2093	2173	796	823	4		2793	2	14
Anh Hµo Tö Kim Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash108yh.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	1									1693	2373	1733	1813	2093	2173	796	823	5	1082	2213	2	14
Anh Hµo Tö Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth120yh.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (6)	0	99999	10	0	30	720	720	31	90	90																36	150	39	1									1693	2413	1733	1853	2607	2820	796	823	6	1104	2793	2	14
Anh Hµo Tö Kim Chïy	0	0	4	\spr\item\equip\weapon\obj-adha29yh.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	150	39	1									2213	2253	1973	2013	2093	2820	796	823	7	2745	1670	2	14
Anh Hµo Tö Kim Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes120yh.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (8)	1	99999	10	0	30	160	160	31	80	80																36	150	39	1									1693	2333	1733	1893	1933	2173	796	823	8		2213	2	14
Anh Hµo Tö Kim Béi	0	9	1	\spr\item\equip\waist\obj-waist108yh.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (9)	3	99999	10	0																						36	150	39	1									1693	2293	1733	1773	2093	2173	796	823	9	1094	2213	2	14
Anh Hµo Tö Kim H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng Chïy cÊp Anh Hµo (10)	4	99999	10	0																						36	150	39	1									1693	2373	1733	1813	2093	2173	796	823	10		1670	2	14
Anh Hµo Hæ §Çu Liªn	0	4	1	\spr\item\equip\nick\obj-neck108yh.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (1)	0	99999	10	0																						36	150	39	1									1693	2413	1733	1853	2133	2173	797	824	1	1116	2213	2	14
Anh Hµo Hæ §Çu Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap120yh.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	1									1693	2253	1733	1773	2093	2820	797	824	2		2745	2	14
Anh Hµo Hæ §Çu Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (3)	1	99999	10	0																						36	150	39	1									1693	2333	1733	1893	2093	2173	797	824	3		1670	2	14
Anh Hµo Hæ §Çu Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle108yh.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	1									1693	2293	1733	1773	2093	2173	797	824	4	1128	2793	2	14
Anh Hµo Hæ §Çu Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash108yh.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	1									1693	2373	1733	1813	2093	2173	797	824	5	1110	2213	2	14
Anh Hµo Hæ §Çu Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth120yh.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (6)	0	99999	10	0	30	720	720	31	90	90																36	150	39	1									1693	2413	1733	1853	2607	2820	797	824	6	1132	2793	2	14
Anh Hµo Hæ §Çu Th­¬ng	0	0	3	\spr\item\equip\weapon\obj-staff32yh.spr	12	1	4	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	150	39	1									2213	2253	1973	2013	2093	2820	797	824	7	2745	1670	2	14
Anh Hµo Hæ §Çu Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes120yh.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (8)	1	99999	10	0	30	160	160	31	80	80																36	150	39	1									1693	2333	1733	1893	1933	2173	797	824	8		2213	2	14
Anh Hµo Hæ §Çu Béi	0	9	1	\spr\item\equip\waist\obj-waist108yh.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (9)	3	99999	10	0																						36	150	39	1									1693	2293	1733	1773	2093	2173	797	824	9	1122	2213	2	14
Anh Hµo Hæ §Çu H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng Th­¬ng cÊp Anh Hµo (10)	4	99999	10	0																						36	150	39	1									1693	2373	1733	1813	2093	2173	797	824	10		1670	2	14
Anh Hµo §¹i Lùc H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck108yh.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (1)	0	99999	10	0																						36	150	39	1									1693	2413	1733	1853	2133	2173	798	825	1	1144	2213	2	14
Anh Hµo §¹i Lùc Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap120yh.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	1									1693	2253	1733	1773	2093	2820	798	825	2		2745	2	14
Anh Hµo §¹i Lùc Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (3)	1	99999	10	0																						36	150	39	1									1693	2333	1733	1893	2093	2173	798	825	3		1670	2	14
Anh Hµo §¹i Lùc Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle108yh.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	1									1693	2293	1733	1773	2093	2173	798	825	4		2793	2	14
Anh Hµo §¹i Lùc Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash108yh.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	1									1693	2373	1733	1813	2093	2173	798	825	5	1138	2213	2	14
Anh Hµo §¹i Lùc Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth120yh.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (6)	0	99999	10	0	30	720	720	31	90	90																36	150	39	1									1693	2413	1733	1853	2607	2820	798	825	6	1160	2793	2	14
Anh Hµo §¹i Lùc B¶o §ao	0	0	1	\spr\item\equip\weapon\obj-blade50yh.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	150	39	1									2213	2253	1973	2013	2093	2820	798	825	7	2745	1670	2	14
Anh Hµo §¹i Lùc Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes120yh.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (8)	1	99999	10	0	30	160	160	31	80	80																36	150	39	1									1693	2333	1733	1893	1933	2173	798	825	8	1156	2213	2	14
Anh Hµo §¹i Lùc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist108yh.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (9)	3	99999	10	0																						36	150	39	1									1693	2293	1733	1773	2093	2173	798	825	9	1150	2213	2	14
Anh Hµo §¹i Lùc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng §ao cÊp Anh Hµo (10)	4	99999	10	0																						36	150	39	1									1693	2373	1733	1813	2093	2173	798	825	10		1670	2	14
Anh Hµo V« S¾c Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck110yh.spr	36	2	1	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (1)	4	99999	10	0																						36	150	39	4									1693	2413	1733	1853	2133	2173	799	826	1	1172	2213	2	14
Anh Hµo V« S¾c Ph¸t §íi	0	7	10	\spr\item\equip\cap\obj-fm-cap123yh.spr	28	2	2	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (2)	0	99999	10	0	30	360	360	31	85	85																36	150	39	4									1693	2253	1733	1773	2093	2625	799	826	2		2213	2	14
Anh Hµo V« S¾c Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (3)	2	99999	10	0																						36	150	39	4									1693	2333	1733	1893	2093	2173	799	826	3		1670	2	14
Anh Hµo V« S¾c Hé UyÓn	0	8	0	\Spr\item\equip\bangle\obj-bangle110yh.spr	35	1	2	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (4)	1	99999	10	0	30	135	135	31	80	80																36	150	39	4									1693	2293	1733	1773	2093	2173	799	826	4	1184	2793	2	14
Anh Hµo V« S¾c Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash110yh.spr	33	2	1	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (5)	3	99999	10	0	30	160	160	31	80	80																36	150	39	4									1693	2373	1733	1813	2093	2173	799	826	5	1166	2213	2	14
Anh Hµo V« S¾c Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth123yh.spr	24	2	3	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (6)	4	99999	10	0	30	720	720	31	90	90																36	150	39	4									1693	2413	1733	1853	2607	2625	799	826	6	1188	2793	2	14
Anh Hµo V« S¾c Tr­êng KiÕm	0	0	0	\spr\item\equip\weapon\obj-sword44yh.spr	9	1	3	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	150	39	4									2706	2253	1973	1773	2093	2625	799	826	7		1670	2	14
Anh Hµo V« S¾c Hµi	0	5	3	\spr\item\equip\boots\obj-shoes123yh.spr	27	2	2	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (8)	2	99999	10	0	30	160	160	31	80	80																36	150	39	4									1693	2333	1733	1893	1933	2173	799	826	8		2213	2	14
Anh Hµo V« S¾c H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist110yh.spr	36	1	2	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (9)	1	99999	10	0																						36	150	39	4									1693	2293	1733	1773	2093	2173	799	826	9	1178	2213	2	14
Anh Hµo V« S¾c H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	Bé trang bÞ Nga My KiÕm cÊp Anh Hµo (10)	3	99999	10	0																						36	150	39	4									1693	2373	1733	1813	2093	2173	799	826	10		1670	2	14
Anh Hµo TuyÕt S¾c Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck110yh.spr	36	2	1	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (1)	4	99999	10	0																						36	150	39	4									1693	2413	1733	1853	2133	2173	800	827	1	1200	2213	2	14
Anh Hµo TuyÕt S¾c Ph¸t §íi	0	7	10	\spr\item\equip\cap\obj-fm-cap123yh.spr	28	2	2	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (2)	0	99999	10	0	30	360	360	31	85	85																36	150	39	4									1693	2253	1733	1773	2093	2625	800	827	2		2213	2	14
Anh Hµo TuyÕt S¾c Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (3)	2	99999	10	0																						36	150	39	4									1693	2333	1733	1893	2093	2173	800	827	3		1670	2	14
Anh Hµo TuyÕt S¾c Hé UyÓn	0	8	0	\Spr\item\equip\bangle\obj-bangle110yh.spr	35	1	2	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (4)	1	99999	10	0	30	135	135	31	80	80																36	150	39	4									1693	2293	1733	1773	2093	2173	800	827	4		2793	2	14
Anh Hµo TuyÕt S¾c Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash110yh.spr	33	2	1	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (5)	3	99999	10	0	30	160	160	31	80	80																36	150	39	4									1693	2373	1733	1813	2093	2173	800	827	5	1194	2213	2	14
Anh Hµo TuyÕt S¾c Tr­êng Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth123yh.spr	24	2	3	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (6)	4	99999	10	0	30	720	720	31	90	90																36	150	39	4									1693	2413	1733	1853	2607	2625	800	827	6	1216	2793	2	14
Anh Hµo TuyÕt S¾c TriÒn Thñ	0	0	6	\spr\item\equip\weapon\obj-glove22yh.spr	9	1	2	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	150	39	4									2726	2253	2453	1773	2093	2625	800	827	7		1670	2	14
Anh Hµo TuyÕt S¾c Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes123yh.spr	27	2	2	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (8)	2	99999	10	0	30	160	160	31	80	80																36	150	39	4									1693	2333	1733	1893	1933	2173	800	827	8	1212	2213	2	14
Anh Hµo TuyÕt S¾c H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist110yh.spr	36	1	2	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (9)	1	99999	10	0																						36	150	39	4									1693	2293	1733	1773	2093	2173	800	827	9	1206	2213	2	14
Anh Hµo TuyÕt S¾c H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	Bé trang bÞ Nga My Ch­ëng cÊp Anh Hµo (10)	3	99999	10	0																						36	150	39	4									1693	2373	1733	1813	2093	2173	800	827	10		1670	2	14
Anh Hµo Tè La Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck110yh.spr	36	2	1	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (1)	4	99999	10	0																						36	150	39	5									1693	2413	1733	1853	2133	2173	801	828	1	1228	2213	2	14
Anh Hµo Tè La Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap124yh.spr	28	2	2	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (2)	0	99999	10	0	30	360	360	31	85	85																36	150	39	5									1693	2253	1733	1773	2093	2625	801	828	2		2213	2	14
Anh Hµo Tè La Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (3)	2	99999	10	0																						36	150	39	5									1693	2333	1733	1893	2093	2173	801	828	3		1670	2	14
Anh Hµo Tè La Tô	0	8	0	\Spr\item\equip\bangle\obj-bangle110yh.spr	35	1	2	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (4)	1	99999	10	0	30	135	135	31	80	80																36	150	39	5									1693	2293	1733	1773	2093	2173	801	828	4	1240	2793	2	14
Anh Hµo Tè La Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash110yh.spr	32	2	1	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (5)	3	99999	10	0	30	160	160	31	80	80																36	150	39	5									1693	2373	1733	1813	2093	2173	801	828	5	1222	2213	2	14
Anh Hµo Tè La Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth124yh.spr	24	2	3	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (6)	4	99999	10	0	30	720	720	31	90	90																36	150	39	5									1693	2413	1733	1853	2607	2625	801	828	6	1244	2793	2	14
Anh Hµo Tè La §ao	0	0	1	\spr\item\equip\weapon\obj-blade51yh.spr	10	1	4	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	150	39	5									2706	2253	1973	1773	2093	2625	801	828	7		1670	2	14
Anh Hµo Tè La Hµi	0	5	3	\spr\item\equip\boots\obj-shoes124yh.spr	27	2	2	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (8)	2	99999	10	0	30	160	160	31	80	80																36	150	39	5									1693	2333	1733	1893	1933	2173	801	828	8		2213	2	14
Anh Hµo Tè La H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist110yh.spr	36	1	2	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (9)	1	99999	10	0																						36	150	39	5									1693	2293	1733	1773	2093	2173	801	828	9	1234	2213	2	14
Anh Hµo Tè La H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	Bé trang bÞ Thóy Yªn §ao cÊp Anh Hµo (10)	3	99999	10	0																						36	150	39	5									1693	2373	1733	1813	2093	2173	801	828	10		1670	2	14
Anh Hµo BÝch La Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck110yh.spr	36	2	1	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (1)	0	99999	10	0																						36	150	39	5									1693	2413	1733	1853	2133	2173	802	829	1	1256	2213	2	14
Anh Hµo BÝch La Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap124yh.spr	28	2	2	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	5									1693	2253	1733	1773	2093	2625	802	829	2		2213	2	14
Anh Hµo BÝch La Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (3)	1	99999	10	0																						36	150	39	5									1693	2333	1733	1893	2093	2173	802	829	3		1670	2	14
Anh Hµo BÝch La Tô	0	8	0	\Spr\item\equip\bangle\obj-bangle110yh.spr	35	1	2	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	5									1693	2293	1733	1773	2093	2173	802	829	4		2793	2	14
Anh Hµo BÝch La Yªu §íi	0	6	0	\spr\item\equip\sash\obj-sash110yh.spr	33	2	1	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	5									1693	2373	1733	1813	2093	2173	802	829	5	1250	2213	2	14
Anh Hµo BÝch La Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth124yh.spr	24	2	3	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (6)	0	99999	10	0	30	720	720	31	90	90																36	150	39	5									1693	2413	1733	1853	2607	2625	802	829	6	1272	2793	2	14
Anh Hµo BÝch La Uyªn ¦¬ng§ao	0	0	5	\spr\item\equip\weapon\obj-adsd30yh.spr	14	2	3	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (7)	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	150	39	5									2726	2253	2453	1773	2093	2625	802	829	7		1670	2	14
Anh Hµo BÝch La Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes124yh.spr	27	2	2	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (8)	1	99999	10	0	30	160	160	31	80	80																36	150	39	5									1693	2333	1733	1893	1933	2173	802	829	8	1268	2213	2	14
Anh Hµo BÝch La H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist110yh.spr	36	1	2	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (9)	3	99999	10	0																						36	150	39	5									1693	2293	1733	1773	2093	2173	802	829	9	1262	2213	2	14
Anh Hµo BÝch La H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	Bé trang bÞ Thóy Yªn Song §ao cÊp Anh Hµo (10)	4	99999	10	0																						36	150	39	5									1693	2373	1733	1813	2093	2173	802	829	10		1670	2	14
Anh Hµo Ban Lan Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck109yh.spr	36	2	1	Bé trang bÞ Ngò §éc Ch­ëng cÊp Anh Hµo (1)	0	99999	10	0																						36	150	39	3									1693	2413	1733	1853	2133	2173	803	830	1	1284	2213	2	14
Anh Hµo Ban Lan Ph¸t §íi	0	7	2	\spr\item\equip\cap\obj-ma-cap121yh.spr	28	2	2	Bé trang bÞ Ngò §éc Ch­ëng cÊp Anh Hµo (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	3									1693	2253	1733	1773	2093	2645	803	830	2		2213	2	14
Anh Hµo Ban Lan Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring109yh.spr	37	1	1	Bé trang bÞ Ngò §éc Ch­ëng cÊp Anh Hµo (3)	1	99999	10	0																						36	150	39	3									1693	2333	1733	1893	2093	2173	803	830	3		1670	2	14
Anh Hµo Ban Lan Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle109yh.spr	34	1	2	Bé trang bÞ Ngò §éc Ch­ëng cÊp Anh Hµo (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	3									1693	2293	1733	1773	2093	2173	803	830	4		2793	2	14
Anh Hµo Ban Lan Yªu §íi	0	6	1	\spr\item\equip\sash\obj-sash109yh.spr	32	2	1	Bé trang bÞ Ngò §éc Ch­ëng cÊp Anh Hµo (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	3									1693	2373	1733	1813	2093	2173	803	830	5	1278	2213	2	14
